,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type,lnglat
317,ROOFTOP,"1144 Bergen St, Brooklyn, NY 11216, USA",ChIJJ4Jpq5xbwokRcNIeI7AjdUM,1144 BERGEN STREET 14 BROOKLYN NY 11216,40.6757542,-73.9477843,1,11216,OK,premise,"[-73.9477843, 40.6757542]"
318,ROOFTOP,"1144 Bergen St, Brooklyn, NY 11216, USA",ChIJJ4Jpq5xbwokRcNIeI7AjdUM,1144  BERGEN STREET 13 Brooklyn NY 11216,40.6757542,-73.9477843,1,11216,OK,premise,"[-73.9477843, 40.6757542]"
319,ROOFTOP,"619 Nostrand Ave, Brooklyn, NY 11216, USA",ChIJ0cMcm5xbwokRglR8Ob9HG5w,619  NOSTRAND AVENUE 1 Brooklyn NY 11216,40.675809,-73.9498154,1,11216,OK,"establishment,food,meal_takeaway,point_of_interest,restaurant","[-73.9498153999999, 40.675809]"
320,ROOFTOP,"1134 Bergen St, Brooklyn, NY 11216, USA",ChIJMxBJqZxbwokReaT432ZExBA,1134  BERGEN STREET  BROOKLYN NY 11216,40.675721,-73.948183,1,11216,OK,street_address,"[-73.948183, 40.675721]"
321,ROOFTOP,"751 St Marks Ave #9D, Brooklyn, NY 11216, USA",Ei05RCwgNzUxIFN0IE1hcmtzIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCYdEY62cW8KJETKPlyQd-qfnEgI5RA,"751  ST MARKS AVENUE 9D BROOKLYN, NY 11216",40.675358,-73.947872,1,11216,OK,subpremise,"[-73.9478719999999, 40.675358]"
322,ROOFTOP,"621 Nostrand Ave #3R, Brooklyn, NY 11216, USA",Ei0zUiwgNjIxIE5vc3RyYW5kIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCYm52ZucW8KJEYTqYDK-j7wWEgIzUg,621 NOSTRAND AVE 3R BROOKLYN 11216,40.675761,-73.9495982,1,11216,OK,subpremise,"[-73.9495982, 40.675761]"
323,ROOFTOP,"751 St Marks Ave F20, Brooklyn, NY 11216, USA",Ei5GMjAsIDc1MSBTdCBNYXJrcyBBdmUsIEJyb29rbHluLCBOWSAxMTIxNiwgVVNBIh8aHQoWChQKEgmHRGOtnFvCiREyj5ckHfqn5xIDRjIw,751  ST MARKS AVENUE F20 Brooklyn NY 11216,40.675358,-73.947872,1,11216,OK,subpremise,"[-73.9478719999999, 40.675358]"
324,ROOFTOP,"751 St Marks Ave B19, Brooklyn, NY 11216, USA",Ei5CMTksIDc1MSBTdCBNYXJrcyBBdmUsIEJyb29rbHluLCBOWSAxMTIxNiwgVVNBIh8aHQoWChQKEgmHRGOtnFvCiREyj5ckHfqn5xIDQjE5,"751  ST MARKS AVENUE APT B19 Brooklyn, NY 11216",40.675358,-73.947872,1,11216,OK,subpremise,"[-73.9478719999999, 40.675358]"
325,ROOFTOP,"751 St Marks Ave, Brooklyn, NY 11216, USA",ChIJh0RjrZxbwokRMo-XJB36p-c,751 SAINT MARKS AVE D.10 BROOKLYN 11216,40.675358,-73.947872,1,11216,OK,street_address,"[-73.9478719999999, 40.675358]"
326,ROOFTOP,"637 Nostrand Ave, Brooklyn, NY 11216, USA",ChIJq4NtkZxbwokRAjkGg7OmPY8,637  NOSTRAND AVENUE  Brooklyn NY 11216,40.675361,-73.9497109,1,11216,OK,street_address,"[-73.9497109, 40.675361]"
327,RANGE_INTERPOLATED,"1094 Bergen St, Brooklyn, NY 11216, USA",EicxMDk0IEJlcmdlbiBTdCwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiGxIZChQKEgnZxfCnnFvCiRFYoxRf_V8cRRDGCA,1094  BERGEN STREET 6 Brooklyn NY 11216,40.6758496,-73.9496451,1,11216,OK,street_address,"[-73.9496451, 40.6758496]"
328,ROOFTOP,"751 St Marks Ave E22, Brooklyn, NY 11216, USA",Ei5FMjIsIDc1MSBTdCBNYXJrcyBBdmUsIEJyb29rbHluLCBOWSAxMTIxNiwgVVNBIh8aHQoWChQKEgmHRGOtnFvCiREyj5ckHfqn5xIDRTIy,751 ST MARKS AVENUE E22 BROOKLYN NY 11216,40.675358,-73.947872,1,11216,OK,subpremise,"[-73.9478719999999, 40.675358]"
329,ROOFTOP,"705 St Marks Ave #1A, Brooklyn, NY 11216, USA",Ei0xQSwgNzA1IFN0IE1hcmtzIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCSFr95acW8KJEW7Wp9Rh9pStEgIxQQ,705 SAINT MARKS AVENUE 1A BROOKLYN NY 11216,40.6754484,-73.9494375,1,11216,OK,subpremise,"[-73.9494375, 40.6754484]"
330,ROOFTOP,"132 New York Ave #1F, Brooklyn, NY 11216, USA",Ei0xRiwgMTMyIE5ldyBZb3JrIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCf3tjFODW8KJEYexyHQJtWn9EgIxRg,132 NEW YORK AVE 1F BROOKLYN 11216,40.6755765,-73.9474858,1,11216,OK,subpremise,"[-73.9474858, 40.6755765]"
331,ROOFTOP,"751 St Marks Ave E22, Brooklyn, NY 11216, USA",Ei5FMjIsIDc1MSBTdCBNYXJrcyBBdmUsIEJyb29rbHluLCBOWSAxMTIxNiwgVVNBIh8aHQoWChQKEgmHRGOtnFvCiREyj5ckHfqn5xIDRTIy,751 ST MARKS AVENUE E22 BROOKLYN NY 11216,40.675358,-73.947872,1,11216,OK,subpremise,"[-73.9478719999999, 40.675358]"
332,ROOFTOP,"1120 Bergen St #24W, Brooklyn, NY 11216, USA",EiwyNFcsIDExMjAgQmVyZ2VuIFN0LCBCcm9va2x5biwgTlkgMTEyMTYsIFVTQSIfGh0KFgoUChIJMzwLppxbwokRzfgvOdizSc8SAzI0Vw,"1120  BERGEN STREET 24W BROOKLYN, NY 11216",40.6757945,-73.9486109,1,11216,OK,subpremise,"[-73.9486109, 40.6757944999999]"
333,ROOFTOP,"715 St Marks Ave #1L, Brooklyn, NY 11216, USA",Ei0xTCwgNzE1IFN0IE1hcmtzIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCQPeE6OcW8KJEVaMXaG8WuqZEgIxTA,715  ST MARKS AVENUE 1L Brooklyn NY 11216,40.6753896,-73.9489904,1,11216,OK,subpremise,"[-73.9489904, 40.6753896]"
334,ROOFTOP,"1144 Bergen St #9, Brooklyn, NY 11216, USA",Eio5LCAxMTQ0IEJlcmdlbiBTdCwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHRobChYKFAoSCSeCaaucW8KJEXDSHiOwI3VDEgE5,1144 BERGEN STREET APT 9 BROOKLYN NY 11216,40.6757542,-73.9477843,1,11216,OK,subpremise,"[-73.9477843, 40.6757542]"
335,ROOFTOP,"126 Rogers Ave, Brooklyn, NY 11216, USA",ChIJqziq-51bwokRFEI4-xJiutM,126 NEW YORK AVE 10 BROOKLYN 11216,40.6723697,-73.9532918,1,11216,OK,"establishment,point_of_interest,school","[-73.9532918, 40.6723697]"
336,ROOFTOP,"130 New York Ave #2, Brooklyn, NY 11216, USA",EiwyLCAxMzAgTmV3IFlvcmsgQXZlLCBCcm9va2x5biwgTlkgMTEyMTYsIFVTQSIdGhsKFgoUChIJ_0wNVINbwokRHnNIB3GuphASATI,130 NEW YORK AVE APT 2 BROOKLYN NY 11216,40.6756393,-73.9474514,1,11216,OK,subpremise,"[-73.9474513999999, 40.6756393]"
337,ROOFTOP,"751 St Marks Ave E1, Brooklyn, NY 11216, USA",Ei1FMSwgNzUxIFN0IE1hcmtzIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCYdEY62cW8KJETKPlyQd-qfnEgJFMQ,751 SAINT MARKS AVENUE E1 BROOKLYN NY 11216,40.675358,-73.947872,1,11216,OK,subpremise,"[-73.9478719999999, 40.675358]"
338,ROOFTOP,"132 New York Ave, Brooklyn, NY 11216, USA",ChIJ_e2MU4NbwokRh7HIdAm1af0,132  NEW YORK AVENUE B 2 Brooklyn NY 11216,40.6755765,-73.9474858,1,11216,OK,premise,"[-73.9474858, 40.6755765]"
339,ROOFTOP,"711 St Marks Ave #3B, Brooklyn, NY 11216, USA",Ei0zQiwgNzExIFN0IE1hcmtzIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCTG3eZecW8KJEZMJuKP9G5QQEgIzQg,711 ST MARKS AVENUE APT 3B NY 11216,40.6754222,-73.9492538,1,11216,OK,subpremise,"[-73.9492538, 40.6754222]"
340,ROOFTOP,"1120 Bergen St, Brooklyn, NY 11216, USA",ChIJMzwLppxbwokRzfgvOdizSc8,1120 BERGEN STREET  BROOKLYN  11216,40.6757945,-73.9486109,1,11216,OK,premise,"[-73.9486109, 40.6757944999999]"
341,ROOFTOP,"280 St Marks Ave, Brooklyn, NY 11238, USA",ChIJDT0So6ZbwokRVnoJcqwxQmg,701 SAINT MARKS AVENUE 3 BROOKLYN 11216,40.6779137,-73.9665411,1,11238,OK,"establishment,point_of_interest","[-73.9665411, 40.6779137]"
342,ROOFTOP,"751 St Marks Ave A6, Brooklyn, NY 11216, USA",Ei1BNiwgNzUxIFN0IE1hcmtzIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCYdEY62cW8KJETKPlyQd-qfnEgJBNg,751 ST MARKS AVE A6 BROOKLYN NY 11216,40.675358,-73.947872,1,11216,OK,subpremise,"[-73.9478719999999, 40.675358]"
343,ROOFTOP,"711 St Marks Ave #1C, Brooklyn, NY 11216, USA",Ei0xQywgNzExIFN0IE1hcmtzIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCTG3eZecW8KJEZMJuKP9G5QQEgIxQw,711 ST MARKS AVE 1C BROOKLYN NY 11216,40.6754222,-73.9492538,1,11216,OK,subpremise,"[-73.9492538, 40.6754222]"
344,ROOFTOP,"1144 Bergen St, Brooklyn, NY 11216, USA",ChIJJ4Jpq5xbwokRcNIeI7AjdUM,1144 BERGEN STREET 14 BROOKLYN NY 11216,40.6757542,-73.9477843,1,11216,OK,premise,"[-73.9477843, 40.6757542]"
345,ROOFTOP,"1226 Sterling Pl, Brooklyn, NY 11213, USA",ChIJKexuWoBbwokRjYySEgolJ4c,1226  STERLING PLACE  Brooklyn NY 11213,40.6716933,-73.9381176,1,11213,OK,premise,"[-73.9381176, 40.6716933]"
346,ROOFTOP,"1254 Sterling Pl, Brooklyn, NY 11213, USA",ChIJKcXQZoBbwokRtLlvP9P7w_U,1254 STERLING PLACE Brooklyn NY 11213,40.6716077,-73.937245,1,11213,OK,premise,"[-73.9372449999999, 40.6716077]"
347,ROOFTOP,"1205 St Johns Pl, Brooklyn, NY 11213, USA",ChIJ380VT4BbwokR5ImqH0g3PeU,1205 ST JOHNS PLACE BROOKLYN NY 11213,40.671283,-73.938298,1,11213,OK,street_address,"[-73.938298, 40.671283]"
348,ROOFTOP,"1242 Sterling Pl, Brooklyn, NY 11213, USA",ChIJS-rDXYBbwokRJ1YOKos_oeY,1242  STERLING PLACE  BROOKLYN NY 11213,40.6716615,-73.937555,1,11213,OK,premise,"[-73.937555, 40.6716615]"
349,ROOFTOP,"269 Albany Ave, Brooklyn, NY 11213, USA",ChIJD8PrsoFbwokRwlw9AHiOWKU,269  ALBANY AVENUE 8 BROOKLYN NY 11213,40.6715148,-73.9390361,2,11213,OK,premise,"[-73.9390361, 40.6715148]"
350,ROOFTOP,"1199 St Johns Pl, Brooklyn, NY 11213, USA",ChIJpSm9ToBbwokRfiq7oeUURZ0,"1199  ST JOHNS PLACE  BROOKLYN, NY 11213",40.671295,-73.938506,1,11213,OK,street_address,"[-73.9385059999999, 40.671295]"
351,ROOFTOP,"269 Albany Ave #5, Brooklyn, NY 11213, USA",Eio1LCAyNjkgQWxiYW55IEF2ZSwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHRobChYKFAoSCQ_D67KBW8KJEcJcPQB4jlilEgE1,269  ALBANY AVENUE APT 5 Brooklyn NY 11213,40.6715148,-73.9390361,1,11213,OK,subpremise,"[-73.9390361, 40.6715148]"
352,ROOFTOP,"1206 Sterling Pl, Brooklyn, NY 11213, USA",ChIJ61JzUYBbwokRQomBvOR3dEI,1206  STERLING PLACE  Brooklyn NY 11213,40.671733,-73.9386687,1,11213,OK,premise,"[-73.9386687, 40.671733]"
353,ROOFTOP,"269 Albany Ave, Brooklyn, NY 11213, USA",ChIJD8PrsoFbwokRwlw9AHiOWKU,269  ALBANY AVENUE 8 BROOKLYN NY 11213,40.6715148,-73.9390361,2,11213,OK,premise,"[-73.9390361, 40.6715148]"
354,ROOFTOP,"1206 Sterling Pl, Brooklyn, NY 11213, USA",ChIJ61JzUYBbwokRQomBvOR3dEI,1206  STERLING PLACE 3 Brooklyn NY 11213,40.671733,-73.9386687,1,11213,OK,premise,"[-73.9386687, 40.671733]"
355,ROOFTOP,"269 Albany Ave, Brooklyn, NY 11213, USA",ChIJD8PrsoFbwokRwlw9AHiOWKU,269 ALBANY AVENUE 6 Brooklyn NY 11213,40.6715148,-73.9390361,2,11213,OK,premise,"[-73.9390361, 40.6715148]"
356,ROOFTOP,"1221 St Johns Pl, Brooklyn, NY 11213, USA",ChIJ_ex3RIBbwokRWBkRjutsXYM,1221 SAINT JOHNS PL 2 BROOKLYN 11213,40.671237,-73.9378306,2,11213,OK,premise,"[-73.9378306, 40.671237]"
357,ROOFTOP,"275 Albany Ave #1C, Brooklyn, NY 11213, USA",EisxQywgMjc1IEFsYmFueSBBdmUsIEJyb29rbHluLCBOWSAxMTIxMywgVVNBIh4aHAoWChQKEglBBXKzgVvCiRFR6i-QAe7vDhICMUM,275  ALBANY AVENUE 1C Brooklyn NY 11213,40.6713602,-73.9390361,1,11213,OK,subpremise,"[-73.9390361, 40.6713602]"
358,ROOFTOP,"1203 St Johns Pl, Brooklyn, NY 11213, USA",ChIJ6-8fT4BbwokR2nV_Uj-pJ8Q,1203  ST JOHNS PLACE 1 Brooklyn NY 11213,40.671287,-73.938367,1,11213,OK,street_address,"[-73.938367, 40.671287]"
359,ROOFTOP,"255 Albany Ave B2, Brooklyn, NY 11213, USA",EitCMiwgMjU1IEFsYmFueSBBdmUsIEJyb29rbHluLCBOWSAxMTIxMywgVVNBIh4aHAoWChQKEgnLouOsgVvCiREl3Phh3CVkIBICQjI,255 ALBANY AVE APT B2 BROOKLYN NY 11213,40.6717814,-73.9390447,1,11213,OK,subpremise,"[-73.9390447, 40.6717814]"
360,ROOFTOP,"240 Troy Ave, Brooklyn, NY 11213, USA",ChIJx5rXeoBbwokRdod5VBGK5Vg,240 TROY AVENUE PH BROOKLYN NY 11213,40.6714134,-73.9366939,1,11213,OK,premise,"[-73.9366939, 40.6714134]"
361,ROOFTOP,"1242 Sterling Pl, Brooklyn, NY 11213, USA",ChIJS-rDXYBbwokRJ1YOKos_oeY,1242 STERLING PLACE BROOKLYN 11213,40.6716615,-73.937555,1,11213,OK,premise,"[-73.937555, 40.6716615]"
362,ROOFTOP,"1224 Sterling Pl, Brooklyn, NY 11213, USA",ChIJX1WcUIBbwokROlPsJlqOK-Y,1224 STERLING PLACE  BROOKLYN NY 11213,40.671695,-73.938198,1,11213,OK,premise,"[-73.938198, 40.671695]"
363,ROOFTOP,"259 Albany Ave #1B, Brooklyn, NY 11213, USA",EisxQiwgMjU5IEFsYmFueSBBdmUsIEJyb29rbHluLCBOWSAxMTIxMywgVVNBIh4aHAoWChQKEgnJP8lSgFvCiRGKOn6nAo5v3BICMUI,259 ALBANY AVENUE 1B BROOKLYN NY 11213,40.6716779,-73.9390934,1,11213,OK,subpremise,"[-73.9390933999999, 40.6716779]"
364,ROOFTOP,"259 Albany Ave #2A, Brooklyn, NY 11213, USA",EisyQSwgMjU5IEFsYmFueSBBdmUsIEJyb29rbHluLCBOWSAxMTIxMywgVVNBIh4aHAoWChQKEgnJP8lSgFvCiRGKOn6nAo5v3BICMkE,259  ALBANY  AVENUE APT 2A BROOKLYN 11213,40.6716779,-73.9390934,1,11213,OK,subpremise,"[-73.9390933999999, 40.6716779]"
365,ROOFTOP,"1522 Sterling Pl #1A, Brooklyn, NY 11213, USA",Ei0xQSwgMTUyMiBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCT_I_Uh8XMKJEaSfg7-RXX3HEgIxQQ,1522 STERLING PL 1A BROOKLYN 11213,40.67119,-73.928422,1,11213,OK,subpremise,"[-73.928422, 40.67119]"
366,ROOFTOP,"1448 Sterling Pl #3B, Brooklyn, NY 11213, USA",Ei0zQiwgMTQ0OCBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCXml7oZ-XMKJESWUhEIaNqNtEgIzQg,1448 STERLING PLACE 3B Brooklyn NY 11213,40.6712364,-73.9307007,1,11213,OK,subpremise,"[-73.9307007, 40.6712364]"
367,ROOFTOP,"1506 Sterling Pl #2B, Brooklyn, NY 11213, USA",Ei0yQiwgMTUwNiBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCWHspTZ8XMKJEf_Q9JCRI69mEgIyQg,1506  STERLING PLACE 2B Brooklyn NY 11213,40.6711556,-73.9290474,1,11213,OK,subpremise,"[-73.9290474, 40.6711556]"
368,ROOFTOP,"1491 St Johns Pl #2A, Brooklyn, NY 11213, USA",Ei0yQSwgMTQ5MSBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCWOX9Mx9XMKJEXs4cpw_Xnb7EgIyQQ,1491 SAINT JOHNS PL 2A BROOKLYN 11213,40.6707691,-73.9290474,1,11213,OK,subpremise,"[-73.9290474, 40.6707691]"
369,ROOFTOP,"1514 Sterling Pl, Brooklyn, NY 11213, USA",ChIJf3cbNnxcwokREPSpbxRT7Jo,1514  STERLING PLACE 4R1 BROOKLYN NY 11213,40.6711163,-73.9287719,1,11213,OK,premise,"[-73.9287719, 40.6711163]"
370,ROOFTOP,"1484 Sterling Pl D4, Brooklyn, NY 11213, USA",Ei1ENCwgMTQ4NCBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCSM9Uix8XMKJEe-JxsdrEpmlEgJENA,1484 STERLING PLACE D4 BROOKLYN NY 11213,40.6711568,-73.9295985,1,11213,OK,subpremise,"[-73.9295985, 40.6711568]"
371,ROOFTOP,"1483 St Johns Pl #2A, Brooklyn, NY 11213, USA",Ei0yQSwgMTQ4MyBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCaFnGdN9XMKJEVqDJuY5KYO3EgIyQQ,1483 ST JOHNS PLACE 2A Brooklyn NY 11213,40.6707864,-73.9295756,1,11213,OK,subpremise,"[-73.9295755999999, 40.6707864]"
372,ROOFTOP,"1455 St Johns Pl #2G, Brooklyn, NY 11213, USA",Ei0yRywgMTQ1NSBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCX3LT9R9XMKJEbw3A6HDiPQ6EgIyRw,1455  ST JOHNS PLACE 2G Brooklyn NY 11213,40.6706625,-73.9298626,1,11213,OK,subpremise,"[-73.9298625999999, 40.6706625]"
373,ROOFTOP,"1455 St Johns Pl #2G, Brooklyn, NY 11213, USA",Ei0yRywgMTQ1NSBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCX3LT9R9XMKJEbw3A6HDiPQ6EgIyRw,1455 ST. JOHNS PLACE  NUM 2G  Brooklyn NY 11213,40.6706625,-73.9298626,1,11213,OK,subpremise,"[-73.9298625999999, 40.6706625]"
374,ROOFTOP,"1491 St Johns Pl #2D, Brooklyn, NY 11213, USA",Ei0yRCwgMTQ5MSBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCWOX9Mx9XMKJEXs4cpw_Xnb7EgIyRA,"1491  ST JOHNS PLACE 2 D BROOKLYN, NY 11213",40.6707691,-73.9290474,1,11213,OK,subpremise,"[-73.9290474, 40.6707691]"
375,ROOFTOP,"1514 Sterling Pl, Brooklyn, NY 11213, USA",ChIJf3cbNnxcwokREPSpbxRT7Jo,"1514  STERLING PLACE 3R3 BROOKLYN, NY 11213",40.6711163,-73.9287719,1,11213,OK,premise,"[-73.9287719, 40.6711163]"
376,ROOFTOP,"1514 Sterling Pl, Brooklyn, NY 11213, USA",ChIJf3cbNnxcwokREPSpbxRT7Jo,"1514  STERLING PLACE 3L4 Brooklyn, NY 11213",40.6711163,-73.9287719,1,11213,OK,premise,"[-73.9287719, 40.6711163]"
377,ROOFTOP,"1460 Sterling Pl #2F, Brooklyn, NY 11213, USA",Ei0yRiwgMTQ2MCBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCUOaloF-XMKJEWmH2QzW4OKVEgIyRg,1460 STERLING PLACE 2F BROOKLYN NY 11213,40.6712031,-73.9301956,1,11213,OK,subpremise,"[-73.9301955999999, 40.6712031]"
378,ROOFTOP,"1506 Sterling Pl #2B, Brooklyn, NY 11213, USA",Ei0yQiwgMTUwNiBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCWHspTZ8XMKJEf_Q9JCRI69mEgIyQg,1506 STERLING PLACE 2B BROOKLYN NY 11213,40.6711556,-73.9290474,1,11213,OK,subpremise,"[-73.9290474, 40.6711556]"
379,ROOFTOP,"1452 Sterling Pl #4C, Brooklyn, NY 11213, USA",Ei00QywgMTQ1MiBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCRNIzIZ-XMKJEdpYP6-qf0nZEgI0Qw,1452 STERLING PLACE 4C BROOKLYN 11213,40.671218,-73.930488,1,11213,OK,subpremise,"[-73.930488, 40.671218]"
380,ROOFTOP,"1448 Sterling Pl #3B, Brooklyn, NY 11213, USA",Ei0zQiwgMTQ0OCBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCXml7oZ-XMKJESWUhEIaNqNtEgIzQg,1448 STERLING PL. APT 3B BROOKLYN NY 11213,40.6712364,-73.9307007,1,11213,OK,subpremise,"[-73.9307007, 40.6712364]"
381,ROOFTOP,"1491 St Johns Pl, Brooklyn, NY 11213, USA",ChIJY5f0zH1cwokRezhynD9edvs,1491 ST JOHNS PLACE BROOKLYN NY 11213,40.6707691,-73.9290474,1,11213,OK,premise,"[-73.9290474, 40.6707691]"
382,ROOFTOP,"1441 St Johns Pl #3B, Brooklyn, NY 11213, USA",Ei0zQiwgMTQ0MSBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCassk39-XMKJEZMrFbTUWy5hEgIzQg,1441 SAINT JOHNS PLACE 3B BROOKLYN NY 11213,40.6708393,-73.9302185,1,11213,OK,subpremise,"[-73.9302185, 40.6708393]"
383,ROOFTOP,"1351 St Johns Pl, Brooklyn, NY 11213, USA",ChIJf0B9rX9cwokRgf8CYyO9zhg,1351  ST JOHNS PLACE 2 BROOKLYN NY 11213,40.6707293,-73.9334931,2,11213,OK,"establishment,point_of_interest,store","[-73.9334930999999, 40.6707293]"
384,ROOFTOP,"1415 St Johns Pl #12, Brooklyn, NY 11213, USA",Ei0xMiwgMTQxNSBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCXWbuGB-XMKJEZvyIvbkmc3yEgIxMg,1415 SAINT JOHNS PLACE APT 12 BROOKLYN NY 11213,40.6709065,-73.9315044,1,11213,OK,subpremise,"[-73.9315044, 40.6709065]"
385,ROOFTOP,"1387 St Johns Pl #2A, Brooklyn, NY 11213, USA",Ei0yQSwgMTM4NyBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCRM1qFB-XMKJEfeKjVqpaWiPEgIyQQ,1387  ST JOHNS PLACE 2A Brooklyn NY 11213,40.6709356,-73.9323196,1,11213,OK,subpremise,"[-73.9323196, 40.6709356]"
386,ROOFTOP,"1415 St Johns Pl, Brooklyn, NY 11213, USA",ChIJdZu4YH5cwokRm_Ii9uSZzfI,1415  SAINT JOHNS PLACE 17 Brooklyn NY 11213,40.6709065,-73.9315044,1,11213,OK,premise,"[-73.9315044, 40.6709065]"
387,ROOFTOP,"1630 St Johns Pl, Brooklyn, NY 11233, USA",ChIJ3YtV1mJcwokR1CAlPjaRKwk,1391  ST JOHN'S PLACE 2 BROOKLYN NY 11213,40.6699053,-73.9236646,1,11233,OK,"establishment,point_of_interest","[-73.9236646, 40.6699053]"
388,ROOFTOP,"1381 St Johns Pl, Brooklyn, NY 11213, USA",ChIJZQ4nUX5cwokR6g3yowEP8J0,1381 SAINT JOHNS PL 1 BROOKLYN 11213,40.6709457,-73.9325263,2,11213,OK,premise,"[-73.9325262999999, 40.6709457]"
389,ROOFTOP,"215 Schenectady Ave, Brooklyn, NY 11213, USA",ChIJ3xJWB39cwokRFHZRT7m78iE,215 SCHENECTADY AVE 1 BROOKLYN 11213,40.6714435,-73.9334448,2,11213,OK,premise,"[-73.9334448, 40.6714435]"
390,ROOFTOP,"1374 Sterling Pl, Brooklyn, NY 11213, USA",ChIJye38_35cwokRPKzxm4lXq1Y,1374 STERLING PLACE BROOKLYN NY 11213,40.6713993,-73.9330659,1,11213,OK,premise,"[-73.9330659, 40.6713993]"
391,ROOFTOP,"1383 St Johns Pl, Brooklyn, NY 11213, USA",ChIJ0fnaUH5cwokRUbWN6usNWeY,1383 ST JOHNS PLACE 2 Brooklyn NY 11213,40.6708506,-73.9324689,1,11213,OK,premise,"[-73.9324689, 40.6708506]"
392,ROOFTOP,"1415 St Johns Pl, Brooklyn, NY 11213, USA",ChIJdZu4YH5cwokRm_Ii9uSZzfI,1415 ST JOHNS PLACE 7 Brooklyn NY 11213,40.6709065,-73.9315044,1,11213,OK,premise,"[-73.9315044, 40.6709065]"
393,ROOFTOP,"1405 St Johns Pl #3D, Brooklyn, NY 11213, USA",Ei0zRCwgMTQwNSBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCXvOm15-XMKJEX3qHxJsQzTxEgIzRA,1405 ST JOHNS PLACE 3D Brooklyn NY 11213,40.6709296,-73.931803,1,11213,OK,subpremise,"[-73.931803, 40.6709296]"
394,ROOFTOP,"1405 St Johns Pl #2D, Brooklyn, NY 11213, USA",Ei0yRCwgMTQwNSBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCXvOm15-XMKJEX3qHxJsQzTxEgIyRA,1405 SAINT JOHNS PL 2D BROOKLYN 11213,40.6709296,-73.931803,1,11213,OK,subpremise,"[-73.931803, 40.6709296]"
395,ROOFTOP,"221 Schenectady Ave #1F, Brooklyn, NY 11213, USA",EjAxRiwgMjIxIFNjaGVuZWN0YWR5IEF2ZSwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCfc9zat_XMKJEaFhFlZeAtSyEgIxRg,221 SCHENECTADY AVE 1F BROOKLYN 11213,40.671262,-73.933357,1,11213,OK,subpremise,"[-73.933357, 40.671262]"
